id,lat,lon
3213806605,-16.3095,-71.6292
3213806606,-16.3073,-71.6251
3213806607,-16.2988,-71.6211
3213806610,-16.2992,-71.6205
3213806611,-16.3104,-71.6277
3213806612,-16.3012,-71.6181
3213806613,-16.2996,-71.6217
3213806614,-16.3005,-71.619
3213806615,-16.3056,-71.6283
3213806616,-16.302,-71.619
3213806617,-16.3,-71.6199
3213806618,-16.2997,-71.6202
3213806619,-16.2999,-71.6201
3213806620,-16.3025,-71.6185
3213806621,-16.3006,-71.6217
3213846712,-16.3019,-71.6285
3213846713,-16.3116,-71.6035
3213846714,-16.3129,-71.6033
3213846717,-16.3102,-71.6054
3213846719,-16.301,-71.63
3213846721,-16.3163,-71.6053
3213846761,-16.305,-71.6345
3213846762,-16.3027,-71.6331
3213846763,-16.3055,-71.6286
3213846764,-16.3064,-71.6286
3213846765,-16.3092,-71.6359
3213846766,-16.3085,-71.6273
3213846767,-16.3058,-71.6289
3213846768,-16.3066,-71.6294
3213846769,-16.3068,-71.6262
3213846770,-16.3099,-71.6363
3213846772,-16.3085,-71.6299
3213846773,-16.3018,-71.6284
3213846774,-16.3019,-71.6305
3213846775,-16.3103,-71.6279
3213846776,-16.3099,-71.6285
3213846777,-16.3006,-71.6306
3213846778,-16.3004,-71.6285
3213846780,-16.3061,-71.6291
3213846781,-16.3094,-71.6284
3213846782,-16.3075,-71.6349
3213846783,-16.3082,-71.629
3213846784,-16.307,-71.6288
3213846785,-16.3027,-71.6279
3213846786,-16.3032,-71.6282
3213846787,-16.3056,-71.6325
3213846788,-16.305,-71.6292
3213846789,-16.3096,-71.6285
3213846790,-16.3097,-71.6346
3213846792,-16.3028,-71.6332
3213846793,-16.3101,-71.6282
3213846794,-16.3025,-71.6329
3213846795,-16.3027,-71.629
3213846796,-16.3112,-71.6291
3213846797,-16.3071,-71.6335
3213846798,-16.312,-71.6293
3213846799,-16.3074,-71.6307
3213846800,-16.3094,-71.6258
3213846801,-16.3063,-71.6272
3213846802,-16.3089,-71.6291
3213846803,-16.3039,-71.6309
3213846804,-16.3015,-71.6281
3213846805,-16.3109,-71.6283
3213846807,-16.31,-71.6284
3213846808,-16.3083,-71.6278
3213846809,-16.3015,-71.6318
3213846811,-16.3067,-71.6355
3213846812,-16.3079,-71.6322
3213846813,-16.3065,-71.6354
3213846814,-16.3067,-71.6344
3213846816,-16.3032,-71.6322
3213846818,-16.3088,-71.6305
3213846819,-16.3083,-71.636
3213846820,-16.3079,-71.6283
3213846822,-16.3036,-71.6316
3213846824,-16.3059,-71.631
3213846825,-16.3077,-71.63
3213846826,-16.3015,-71.6312
