way_id,lon,lat
319942299,-71.5129,-16.3139
319942299,-71.5131,-16.314
319942299,-71.5133,-16.3139
319942299,-71.5134,-16.3139
319942299,-71.5135,-16.3138
319942299,-71.5135,-16.3138
319942299,-71.5134,-16.3138
319942299,-71.5132,-16.3138
319942299,-71.5129,-16.3137
319942299,-71.5127,-16.3136
319942299,-71.5124,-16.3133
319942299,-71.5121,-16.313
319942299,-71.5118,-16.3128
319942299,-71.5116,-16.3127
319942299,-71.5116,-16.3125
319942299,-71.5116,-16.3123
319942299,-71.5117,-16.3123
319942299,-71.5118,-16.3123
319942299,-71.512,-16.3125
319942299,-71.5121,-16.3126
319942299,-71.5124,-16.3127
319942299,-71.5125,-16.3129
319942299,-71.5127,-16.3131
319942299,-71.5129,-16.3132
319942299,-71.513,-16.3132
319942299,-71.5131,-16.3131
319942299,-71.5132,-16.3131
319942299,-71.5132,-16.313
319942299,-71.5131,-16.3127
319942299,-71.5131,-16.3125
319942299,-71.5132,-16.3124
319942299,-71.5132,-16.3123
319942299,-71.5135,-16.3123
319942299,-71.5135,-16.3122
319942299,-71.5135,-16.312
319942299,-71.5135,-16.3118
319942299,-71.5135,-16.3115
319942299,-71.5134,-16.3112
319942299,-71.5132,-16.311
319942299,-71.5131,-16.3109
319942299,-71.513,-16.3107
319942299,-71.5128,-16.3101
319942299,-71.5128,-16.3099
319942299,-71.5128,-16.3097
319942299,-71.5128,-16.3095
319942299,-71.5126,-16.3092
319942299,-71.5126,-16.309
319942299,-71.5125,-16.3089
319942299,-71.5125,-16.3088
319942299,-71.5124,-16.3087
319942299,-71.5124,-16.3086
319942299,-71.5124,-16.3085
319942299,-71.5125,-16.3084
319942299,-71.5126,-16.3084
319942299,-71.5131,-16.3083
319942299,-71.5132,-16.3082
319942299,-71.5133,-16.3082
319942300,-71.5256,-16.3064
319942300,-71.5245,-16.3065
319942300,-71.524,-16.3066
319942300,-71.5235,-16.3067
319942300,-71.5229,-16.3068
319942301,-71.5273,-16.3087
319942301,-71.5273,-16.3086
319942301,-71.5273,-16.3085
319942301,-71.5273,-16.3085
319942301,-71.5273,-16.3083
319942301,-71.5274,-16.3081
319942301,-71.5275,-16.3078
319942301,-71.5276,-16.3076
319942301,-71.5277,-16.3075
319942301,-71.5277,-16.3074
319942301,-71.5277,-16.3072
319942301,-71.5277,-16.3071
319942303,-71.525,-16.3113
319942303,-71.5248,-16.3103
319942303,-71.5245,-16.3093
319942303,-71.5242,-16.3082
319942303,-71.524,-16.3071
319942304,-71.5242,-16.3047
319942304,-71.5251,-16.3045
319942305,-71.5241,-16.3071
319942305,-71.524,-16.3066
319942305,-71.5239,-16.3062
319942305,-71.5239,-16.306
319942305,-71.5238,-16.3052
319942305,-71.5236,-16.3043
319942305,-71.5235,-16.3033
319942305,-71.5234,-16.3029
319942305,-71.5233,-16.3025
319942305,-71.5231,-16.3013
319942305,-71.5231,-16.3012
319942305,-71.523,-16.3008
319942305,-71.523,-16.3008
319942305,-71.523,-16.3007
319942305,-71.5229,-16.3
319942305,-71.5228,-16.2995
319942305,-71.5228,-16.2994
319942305,-71.5227,-16.299
319942307,-71.5255,-16.3091
319942307,-71.5255,-16.3088
319942307,-71.5254,-16.3085
319942307,-71.5253,-16.308
319942307,-71.5251,-16.3075
319942307,-71.525,-16.307
319942309,-71.5216,-16.3037
319942309,-71.5219,-16.3036
319942309,-71.5224,-16.3035
319942309,-71.523,-16.3034
319942309,-71.5235,-16.3033
319942309,-71.524,-16.3033
319942309,-71.5248,-16.3032
319942310,-71.524,-16.3037
319942310,-71.5249,-16.3036
319942310,-71.5252,-16.3035
319942312,-71.5256,-16.3059
319942312,-71.5255,-16.3054
319942312,-71.5255,-16.3054
319942312,-71.5253,-16.305
319942312,-71.5251,-16.3045
319942312,-71.5249,-16.304
319942312,-71.5249,-16.3036
319942312,-71.5248,-16.3032
319942312,-71.5247,-16.3028
319942312,-71.5247,-16.3027
319942664,-71.5283,-16.3078
319942664,-71.5285,-16.3081
319942664,-71.5287,-16.3084
319942664,-71.5295,-16.3094
319942664,-71.5302,-16.3104
319943944,-71.5217,-16.296
319943944,-71.5219,-16.297
319943944,-71.522,-16.2979
319943944,-71.5222,-16.299
319943957,-71.5307,-16.2988
319943957,-71.5311,-16.2986
319943957,-71.5312,-16.2986
319943957,-71.5313,-16.2986
319943957,-71.5313,-16.2986
319943957,-71.5314,-16.2985
319943957,-71.5313,-16.2984
319943957,-71.5313,-16.2982
319943957,-71.5313,-16.2981
319943957,-71.5313,-16.298
319943957,-71.5314,-16.298
319943957,-71.5314,-16.298
