source_id,target_id,distance
10988350397,5489103774,31.113
5489103774,10988350397,31.113
5489103774,5381398154,24.1797
5381398154,5489103774,24.1797
5381398154,10988350394,1.95589
10988350394,5381398154,1.95589
10988350394,5489103777,5.6671
5489103777,10988350394,5.6671
5489103777,10988350388,6.5408
10988350388,5489103777,6.5408
10988350388,5489103783,2.15169
5489103783,10988350388,2.15169
5489103783,10988350391,20.369
10988350391,5489103783,20.369
10988350391,5579802452,7.55057
5579802452,10988350391,7.55057
5579802452,5381398155,34.7204
5381398155,5579802452,34.7204
5381398155,5579802451,16.9428
5579802451,5381398155,16.9428
5579802451,5489103782,62.2869
5489103782,5579802451,62.2869
5489103782,5381398156,17.8816
5381398156,5489103782,17.8816
5381398156,5489103778,6.57231
5489103778,5381398156,6.57231
5489103778,5489103779,53.0064
5489103779,5489103778,53.0064
5489103779,5381398157,59.1524
5381398157,5489103779,59.1524
5381398157,5415377720,12.647
5415377720,5381398157,12.647
5415377720,5415368364,110.664
5415368364,5415377720,110.664
5415368364,5381398158,3.99171
5381398158,5415368364,3.99171
5381398158,5491738704,7.03515
5491738704,5381398158,7.03515
5491738704,5381398159,4.67809
5381398159,5491738704,4.67809
5381398159,10978106973,10.3573
10978106973,5381398159,10.3573
10978106973,5381398160,13.8143
5381398160,10978106973,13.8143
5381398160,5381398161,9.99024
5381398161,5381398160,9.99024
5381398161,5381398162,26.4193
5381398162,5381398161,26.4193
5381398162,5491738707,37.2419
5491738707,5381398162,37.2419
5491738707,10978060388,7.03866
10978060388,5491738707,7.03866
10978060388,5491738706,6.22449
5491738706,10978060388,6.22449
5491738706,5491738705,6.11885
5491738705,5491738706,6.11885
5491738705,5381398163,10.731
5381398163,5491738705,10.731
1252992447,5462754425,39.8073
5462754425,1252992447,39.8073
5462754425,5415368385,12.7121
5415368385,5462754425,12.7121
5415368385,11033579501,18.4293
11033579501,5415368385,18.4293
11033579501,11033579502,11.4589
11033579502,11033579501,11.4589
11033579502,5579802476,6.92786
5579802476,11033579502,6.92786
5579802476,5489103817,15.9225
5489103817,5579802476,15.9225
5489103817,5489103818,11.8724
5489103818,5489103817,11.8724
5489103818,5709466683,6.62887
5709466683,5489103818,6.62887
5709466683,5415368386,9.40277
5415368386,5709466683,9.40277
5415368386,5489103819,13.7955
5489103819,5415368386,13.7955
5489103819,5489103820,8.74768
5489103820,5489103819,8.74768
5489103820,5415368387,20.3488
5415368387,5489103820,20.3488
5415368387,5462556556,19.2672
5462556556,5415368387,19.2672
5462556556,5415368388,30.5197
5415368388,5462556556,30.5197
5415368388,10993714594,13.8936
10993714594,5415368388,13.8936
10993714594,5489103821,11.5767
5489103821,10993714594,11.5767
1264284592,5213573213,61.6192
5213573213,1264284592,61.6192
4208411708,1253026501,82.478
1253026501,4208411708,82.478
1264297895,11009517211,21.3981
11009517211,1264297895,21.3981
11009517211,1264366893,10.984
1264366893,11009517211,10.984
1264366893,1264332325,16.5932
1264332325,1264366893,16.5932
1264332325,5213573180,23.5026
5213573180,1264332325,23.5026
5213573180,5072664652,27.6694
5072664652,5213573180,27.6694
5072664652,5416508831,3.19613
5416508831,5072664652,3.19613
5416508831,7717594760,47.6807
7717594760,5416508831,47.6807
7717594760,5416508829,56.6911
5416508829,7717594760,56.6911
5410079090,1264285931,59.0996
1264285931,5410079090,59.0996
1264285931,11006740825,4.94472
11006740825,1264285931,4.94472
11006740825,5213573194,5.22012
5213573194,11006740825,5.22012
5213573194,5213573195,21.4138
5213573195,5213573194,21.4138
11012592324,1264292788,15.6745
1264292788,11012592324,15.6745
1264292788,11012592325,5.25355
11012592325,1264292788,5.25355
11012592325,1264323930,89.237
1264323930,11012592325,89.237
1264323930,1264282947,67.9029
1264282947,1264323930,67.9029
1264282947,11009517217,25.1608
11009517217,1264282947,25.1608
11009517217,1264330028,50.3698
1264330028,11009517217,50.3698
1264330028,1264288850,19.6697
1264288850,1264330028,19.6697
1264288850,1264315395,22.8711
1264315395,1264288850,22.8711
1264315395,5072661363,25.251
5072661363,1264315395,25.251
5072661363,1264337959,7.59396
1264337959,5072661363,7.59396
1264337959,5416508840,31.6327
5416508840,1264337959,31.6327
5416508840,11009517209,15.0656
11009517209,5416508840,15.0656
11009517209,1264315141,13.2844
1264315141,11009517209,13.2844
1264315141,1252914227,41.097
1252914227,1264315141,41.097
1252914227,5416508830,26.0302
5416508830,1252914227,26.0302
5416508830,5416508831,13.0693
5416508831,5416508830,13.0693
5413277264,5413277263,15.8436
5413277263,5413277264,15.8436
5413277263,5213022332,87.5479
5213022332,5413277263,87.5479
1253033893,1264285000,96.9604
1264285000,1253033893,96.9604
1264285000,11033647209,53.5948
11033647209,1264285000,53.5948
11033647209,1264292433,57.6767
1264292433,11033647209,57.6767
5462556572,5416508879,10.0034
5416508879,5462556572,10.0034
5416508879,5416508878,17.6893
5416508878,5416508879,17.6893
5416508878,1253009543,17.9934
1253009543,5416508878,17.9934
1253009543,5462556581,9.35861
5462556581,1253009543,9.35861
5462556581,5113922954,50.7674
5113922954,5462556581,50.7674
5213573157,10972469104,16.9331
10972469104,5213573157,16.9331
10972469104,1264281351,17.4832
1264281351,10972469104,17.4832
1264281351,1264324586,55.8533
1264324586,1264281351,55.8533
1264324586,1264342634,40.7998
1264342634,1264324586,40.7998
1264286846,5113939619,9.04904
5113939619,1264286846,9.04904
5113939619,5381265041,24.169
5381265041,5113939619,24.169
5381265041,5416554558,10.023
5416554558,5381265041,10.023
5416554558,10958659977,4.56294
10958659977,5416554558,4.56294
10958659977,5381265043,4.15869
5381265043,10958659977,4.15869
5381265043,10967277263,4.06978
10967277263,5381265043,4.06978
10967277263,8990477742,3.32784
8990477742,10967277263,3.32784
8990477742,5381265042,5.01117
5381265042,8990477742,5.01117
5381265042,1264298635,46.8374
1264298635,5381265042,46.8374
1264298635,10967277264,15.5909
10967277264,1264298635,15.5909
10967277264,10967277265,11.7841
10967277265,10967277264,11.7841
10967277265,5426873001,14.8902
5426873001,10967277265,14.8902
5426873001,1252986597,37.1152
1252986597,5426873001,37.1152
1252986597,1253037288,32.4243
1253037288,1252986597,32.4243
1253037288,1253003287,22.0331
1253003287,1253037288,22.0331
1253003287,1264365166,12.1401
1264365166,1253003287,12.1401
1264365166,1264306787,8.00844
1264306787,1264365166,8.00844
1264306787,11010687296,2.51901
11010687296,1264306787,2.51901
11010687296,1264293979,2.53985
